Row,Column,Well,Set,Plate,RandN,A630,A663,A750
D,5,D5,2,2C,117,0.065,0.12,0.045
E,5,E5,2,2C,119,0.049,0.061,0.049
F,5,F5,2,2C,120,0.056,0.101,0.043
G,5,G5,2,2C,121,0.081,0.181,0.047
H,5,H5,2,2C,122,0.064,0.114,0.049
A,6,A6,2,2C,123,0.072,0.154,0.047
B,6,B6,2,2C,124,0.067,0.135,0.044
C,6,C6,2,2C,125,0.059,0.1,0.048
D,6,D6,2,2C,126,0.06,0.098,0.051
E,6,E6,2,2C,127,0.065,0.1,0.054
F,6,F6,2,2C,128,0.069,0.15,0.045
G,6,G6,2,2C,129,0.067,0.141,0.045
H,6,H6,2,2C,130,0.06,0.099,0.049
A,7,A7,2,2C,131,0.071,0.135,0.053
B,7,B7,2,2C,132,0.077,0.165,0.047
C,7,C7,2,2C,133,0.062,0.12,0.043
D,7,D7,2,2C,134,0.07,0.151,0.047
E,7,E7,2,2C,135,0.058,0.106,0.045
F,7,F7,2,2C,136,0.065,0.136,0.044
G,7,G7,2,2C,137,0.055,0.096,0.044
H,7,H7,2,2C,138,0.064,0.112,0.05
A,8,A8,2,2C,139,0.051,0.071,0.046
B,8,B8,2,2C,140,0.062,0.113,0.047
C,8,C8,2,2C,141,0.059,0.105,0.044
D,8,D8,2,2C,142,0.059,0.104,0.045
E,8,E8,2,2C,143,0.061,0.105,0.043
F,8,F8,2,2C,144,0.062,0.12,0.041
G,8,G8,2,2C,145,0.065,0.128,0.045
H,8,H8,2,2C,146,0.057,0.091,0.047
A,9,A9,2,2C,147,0.055,0.088,0.045
B,9,B9,2,2C,148,0.069,0.125,0.049
C,9,C9,2,2C,149,0.059,0.111,0.045
D,9,D9,2,2C,150,0.728,0.744,0.667
E,9,E9,2,2C,151,0.078,0.171,0.048
F,9,F9,2,2C,152,0.059,0.107,0.044
G,9,G9,2,2C,153,0.063,0.126,0.045
H,9,H9,2,2C,154,0.074,0.154,0.051
A,10,A10,2,2C,155,0.089,0.147,0.071
A,1,A1,3,3A,156,0.042,0.067,0.038
B,1,B1,3,3A,157,0.065,0.157,0.041
C,1,C1,3,3A,158,0.05,0.097,0.038
D,1,D1,3,3A,159,0.05,0.095,0.036
E,1,E1,3,3A,160,0.055,0.12,0.037
F,1,F1,3,3A,161,0.051,0.1,0.037
G,1,G1,3,3A,162,0.042,0.068,0.037
H,1,H1,3,3A,163,0.062,0.136,0.039
A,2,A2,3,3A,164,0.05,0.074,0.046
B,2,B2,3,3A,165,0.058,0.105,0.049
C,2,C2,3,3A,166,0.051,0.081,0.044
D,2,D2,3,3A,167,0.062,0.126,0.045
E,2,E2,3,3A,168,0.065,0.143,0.043
F,2,F2,3,3A,169,0.064,0.135,0.043
G,2,G2,3,3A,170,0.061,0.123,0.045
H,2,H2,3,3A,171,0.055,0.101,0.045
A,3,A3,3,3A,172,0.066,0.132,0.048
B,3,B3,3,3A,173,0.059,0.106,0.048
C,3,C3,3,3A,174,0.058,0.102,0.046
D,3,D3,3,3A,175,0.058,0.091,0.047
E,3,E3,3,3A,176,0.057,0.106,0.043
F,3,F3,3,3A,177,0.059,0.117,0.043
G,3,G3,3,3A,178,0.063,0.123,0.044
H,3,H3,3,3A,179,0.074,0.164,0.048
A,4,A4,3,3A,180,0.059,0.104,0.046
B,4,B4,3,3A,181,0.062,0.12,0.046
C,4,C4,3,3A,182,0.064,0.128,0.044
D,4,D4,3,3A,183,0.071,0.157,0.043
E,4,E4,3,3A,184,0.064,0.13,0.041
F,4,F4,3,3A,185,0.056,0.101,0.043
G,4,G4,3,3A,186,0.063,0.128,0.046
